"ASV","Comparison","log2FoldChange","padj","Enriched_in","Domain","Phylum","Class","Order","Family","Genus","Species"
"a3c00a2761ff1f5f5f1ee12c51cc11fd","FERM vs WO1",-4.12343704868361,7.95682722163853e-16,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus",NA
"e3234bd41c2aa9c202453a1efcc61124","FERM vs WO1",-1.11424629042829,0.0397547110070086,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis",NA
"b8bd809a5067de74044bd75aa82333ad","FERM vs WO1",1.49358809963696,0.00222058926029519,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis",NA
"dac1cb1994d7c55fc1df3eadbc3736e5","FERM vs WO1",-1.10287835320733,0.0272364797716012,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Negativibacillus",NA
"6087fea04b15aba47e88558b56a45b47","FERM vs WO1",-5.33796395582517,1.46241394142007e-24,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae",NA,NA
"67fa67802d0de7ba461efa3ef7b52f50","FERM vs WO1",-4.32349263753589,8.91885074910425e-17,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum",NA
"d62f8db43fe2edf6028e61030f4666b2","FERM vs WO1",-1.66452228972946,0.0244640439651799,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA
"6aef80ec5cce99bc1399242539dabc47","FERM vs WO1",1.22139668172914,0.0159703305213103,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis",NA
"23c1f4252354beef3a21f125919a6fb9","FERM vs WO1",-2.06942332394708,3.81197891894119e-05,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__CAG-352",NA
"deabd3fbd7a2e2ab38209993b1ff7604","FERM vs WO1",-1.6247731448163,0.00052130573527724,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Acutalibacter",NA
"dbc3f2aaa280a6677996d7f306305be4","FERM vs WO1",1.38314767568074,0.0108496904379133,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"d73f3a7a414a0faea221cbf183c3b5eb","FERM vs WO1",1.5252788713178,0.00599231378096917,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-010",NA
"70d27b4fd0958106905f7b9894ec524c","FERM vs WO1",-1.59562961324633,0.0189202870333045,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella",NA
"60c3073ef049a377e3ec7a53872e0b91","FERM vs WO1",1.07813202784446,0.02726204393738,"FERM","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas",NA
"860dd6a81bdf00478bde28dee735c1bf","FERM vs WO1",-1.48450590315788,0.00183355159025711,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides",NA
"31760b17e6d0bd30b881d7b3958812b9","FERM vs WO1",2.10520067709148,3.44720428337028e-05,"FERM","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Incertae_Sedis",NA
"8112aada0285492d5e374b91ae970197","FERM vs WO1",-1.18199490943887,0.0207643790341675,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Incertae_Sedis",NA
"37af311c83f5e181524a4b9b0e9d8e47","FERM vs WO1",-4.5662132490726,7.76806270364754e-18,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"eeb661ccb68faf90ae2231b415de5595","FERM vs WO1",-2.29828403845909,6.07691630875291e-06,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"01d272c52be4b28e07e28dce19e0985c","FERM vs WO1",-1.86726703361807,6.93150828585676e-05,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"5d9e4045a8d509fc1c37beac49f5d228","FERM vs WO1",-3.44494558326938,3.16383115693886e-12,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"8f6117814d0309ac26a638a0c2cf898c","FERM vs WO1",-1.71796289229036,0.000336557675380686,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"4c6b43eac040f76ac550f21b5f1cf239","FERM vs WO1",-5.40102520520166,2.38057519822698e-26,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"98d28ee1ef8b0548acbbf7922f1cb1da","FERM vs WO1",1.72432865858652,0.0106005444066517,"FERM","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"fbe5cf465b665e7293b396c4e0ae8acb","FERM vs WO1",-4.12575421982969,3.61201532341934e-16,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"f3eff42a34d274b33a2a055b7de16792","FERM vs WO1",1.49858481980878,0.00324273709097574,"FERM","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"6d11026babbcd9f978ab80a6226ba959","FERM vs WO1",-6.74942685691418,7.20576982672336e-52,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"a3fb31c18a839a033169852829d51047","FERM vs WO1",-5.48211860718869,4.40320977291468e-23,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
