"taxon","SE","df","lower.CL","upper.CL","Family","Genus","taxon_label","Subset","Base","VEG","WO1","FERM","WO2","change","direction"
"56b61b7a91af3ead8aa36a4cf61724f9",0.44957257400941,131.519789078715,-8.80554444955941,-7.02688639568466,"f__Erysipelatoclostridiaceae","g__Coprobacillus","f__Erysipelatoclostridiaceae_g__Coprobacillus_56b61b7a91af3ead8aa36a4cf61724f9","Fermented",NA,NA,NA,-7.91621542262203,NA,NA,NA
"56b61b7a91af3ead8aa36a4cf61724f9",0.44957257400941,131.519789078715,-7.65128537600837,-5.87262732213362,"f__Erysipelatoclostridiaceae","g__Coprobacillus","f__Erysipelatoclostridiaceae_g__Coprobacillus_56b61b7a91af3ead8aa36a4cf61724f9","Fermented",NA,NA,NA,NA,-6.76195634907099,NA,NA
"ac9784872d4398edb647d5adaf08f4a8",0.222907672157187,132.000000000001,-7.97106141719903,-7.08919460089876,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_ac9784872d4398edb647d5adaf08f4a8","Fermented",-7.53012800904889,NA,NA,NA,NA,NA,NA
"ac9784872d4398edb647d5adaf08f4a8",0.222907672157187,132,-8.35714883077216,-7.4752820144719,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_ac9784872d4398edb647d5adaf08f4a8","Fermented",NA,NA,NA,-7.91621542262203,NA,NA,NA
"ac9784872d4398edb647d5adaf08f4a8",0.222907672157187,132,-8.35714883077216,-7.4752820144719,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_ac9784872d4398edb647d5adaf08f4a8","Fermented",NA,NA,NA,NA,-7.91621542262203,NA,NA
"b7db7f06d081c70ccc6b990ad2731917",0.277499664297745,132.000000000002,-7.77818648364948,-6.68034295448608,"f__Lachnospiraceae","g__Blautia","f__Lachnospiraceae_g__Blautia_b7db7f06d081c70ccc6b990ad2731917","Fermented",-7.22926471906778,NA,NA,NA,NA,NA,NA
"b7db7f06d081c70ccc6b990ad2731917",0.277499664297744,132,-8.46513718720373,-7.36729365804033,"f__Lachnospiraceae","g__Blautia","f__Lachnospiraceae_g__Blautia_b7db7f06d081c70ccc6b990ad2731917","Fermented",NA,NA,NA,-7.91621542262203,NA,NA,NA
"b7db7f06d081c70ccc6b990ad2731917",0.277499664297744,132,-8.46513718720373,-7.36729365804033,"f__Lachnospiraceae","g__Blautia","f__Lachnospiraceae_g__Blautia_b7db7f06d081c70ccc6b990ad2731917","Fermented",NA,NA,NA,NA,-7.91621542262203,NA,NA
"be71cf3546f4dd3de3cccda869c2828f",0.211717444459114,132.000000000001,-7.96830808366992,-7.1307120202705,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_be71cf3546f4dd3de3cccda869c2828f","Fermented",-7.54951005197021,NA,NA,NA,NA,NA,NA
"be71cf3546f4dd3de3cccda869c2828f",0.211717444459113,132.000000000001,-8.33501345432174,-7.49741739092233,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_be71cf3546f4dd3de3cccda869c2828f","Fermented",NA,NA,NA,-7.91621542262203,NA,NA,NA
"be71cf3546f4dd3de3cccda869c2828f",0.211717444459113,132,-8.33501345432174,-7.49741739092233,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_be71cf3546f4dd3de3cccda869c2828f","Fermented",NA,NA,NA,NA,-7.91621542262203,NA,NA
"f9b87c8f7a792d317365f3412cb54cd9",0.300414157433791,132.000000000001,-8.1739731895163,-6.98547539568151,"f__Peptostreptococcaceae","g__Romboutsia","f__Peptostreptococcaceae_g__Romboutsia_f9b87c8f7a792d317365f3412cb54cd9","Fermented",-7.5797242925989,NA,NA,NA,NA,NA,NA
"f9b87c8f7a792d317365f3412cb54cd9",0.300414157433791,132,-8.51046431953942,-7.32196652570464,"f__Peptostreptococcaceae","g__Romboutsia","f__Peptostreptococcaceae_g__Romboutsia_f9b87c8f7a792d317365f3412cb54cd9","Fermented",NA,NA,NA,-7.91621542262203,NA,NA,NA
"f9b87c8f7a792d317365f3412cb54cd9",0.300414157433791,132,-7.94319847879164,-6.75470068495686,"f__Peptostreptococcaceae","g__Romboutsia","f__Peptostreptococcaceae_g__Romboutsia_f9b87c8f7a792d317365f3412cb54cd9","Fermented",NA,NA,NA,NA,-7.34894958187425,NA,NA
"07b1149ccb783782ec4d38ecb1496c21",0.193128199722471,131.999999999999,-7.97340223594708,-7.20934889951926,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Microbiome",-7.59137556773317,NA,NA,NA,NA,NA,NA
